Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,GSW,NBA,SG,66,29,1608,318,718,.443,111,268,.414,207,450,.460,.520,79,91,.868,24,137,161,133,49,20,103,155,826
2012-13,22,GSW,NBA,SG,82,82,2936,508,1205,.422,211,526,.401,297,679,.437,.509,132,157,.841,32,274,306,183,86,45,157,237,1359
2013-14,23,GSW,NBA,SG,81,81,2868,559,1259,.444,223,535,.417,336,724,.464,.533,147,185,.795,38,211,249,181,74,37,135,234,1488
2014-15,24,GSW,NBA,SG,77,77,2455,602,1299,.463,239,545,.439,363,754,.481,.555,225,256,.879,27,220,247,222,87,60,149,122,1668
2015-16,25,GSW,NBA,SG,80,80,2666,651,1386,.470,276,650,.425,375,736,.510,.569,193,221,.873,35,271,306,166,60,49,138,152,1771
2016-17,26,GSW,NBA,SG,78,78,2649,644,1376,.468,268,647,.414,376,729,.516,.565,186,218,.853,49,236,285,160,66,40,128,139,1742
2017-18,27,GSW,NBA,SG,73,73,2506,575,1179,.488,229,521,.440,346,658,.526,.585,82,98,.837,31,246,277,185,55,34,128,117,1461
2018-19,28,GSW,NBA,SG,78,78,2652,655,1402,.467,241,599,.402,414,803,.516,.553,129,158,.816,37,262,299,186,84,47,115,157,1680
Career,,,NBA,,615,578,20340,4512,9824,.459,1798,4291,.419,2714,5533,.491,.551,1173,1384,.848,273,1857,2130,1416,561,332,1053,1313,11995
